[2026-08-21 13:40:30] BUILD start: none
  스캔 4600개 처리, GICP 성공 4415 실패 184 (필터폴백 0)
  스캔 4800개 처리, GICP 성공 4611 실패 188 (필터폴백 0)
  스캔 5000개 처리, GICP 성공 4808 실패 191 (필터폴백 0)
  스캔 5200개 처리, GICP 성공 4994 실패 205 (필터폴백 0)
  스캔 5400개 처리, GICP 성공 5179 실패 220 (필터폴백 0)
  스캔 5600개 처리, GICP 성공 5377 실패 222 (필터폴백 0)
  스캔 5800개 처리, GICP 성공 5576 실패 223 (필터폴백 0)
  스캔 6000개 처리, GICP 성공 5775 실패 224 (필터폴백 0)
  스캔 6200개 처리, GICP 성공 5973 실패 226 (필터폴백 0)
  스캔 6400개 처리, GICP 성공 6173 실패 226 (필터폴백 0)
  스캔 6600개 처리, GICP 성공 6369 실패 230 (필터폴백 0)
  스캔 6800개 처리, GICP 성공 6557 실패 242 (필터폴백 0)
  스캔 7000개 처리, GICP 성공 6744 실패 255 (필터폴백 0)
  스캔 7200개 처리, GICP 성공 6934 실패 265 (필터폴백 0)
  스캔 7400개 처리, GICP 성공 7134 실패 265 (필터폴백 0)
  스캔 7600개 처리, GICP 성공 7333 실패 266 (필터폴백 0)
  스캔 7800개 처리, GICP 성공 7533 실패 266 (필터폴백 0)
  스캔 8000개 처리, GICP 성공 7732 실패 267 (필터폴백 0)
  스캔 8200개 처리, GICP 성공 7932 실패 267 (필터폴백 0)
  스캔 8400개 처리, GICP 성공 8131 실패 268 (필터폴백 0)
  스캔 8600개 처리, GICP 성공 8315 실패 284 (필터폴백 0)
  스캔 8800개 처리, GICP 성공 8483 실패 316 (필터폴백 0)
  스캔 9000개 처리, GICP 성공 8681 실패 318 (필터폴백 0)
  스캔 9200개 처리, GICP 성공 8881 실패 318 (필터폴백 0)
  스캔 9400개 처리, GICP 성공 9081 실패 318 (필터폴백 0)
  스캔 9600개 처리, GICP 성공 9281 실패 318 (필터폴백 0)
  스캔 9800개 처리, GICP 성공 9480 실패 319 (필터폴백 0)
  스캔 10000개 처리, GICP 성공 9676 실패 323 (필터폴백 0)
  스캔 10200개 처리, GICP 성공 9876 실패 323 (필터폴백 0)
  스캔 10400개 처리, GICP 성공 10062 실패 337 (필터폴백 0)
  스캔 10600개 처리, GICP 성공 10257 실패 342 (필터폴백 0)
  스캔 10800개 처리, GICP 성공 10457 실패 342 (필터폴백 0)
  스캔 11000개 처리, GICP 성공 10657 실패 342 (필터폴백 0)
  스캔 11200개 처리, GICP 성공 10857 실패 342 (필터폴백 0)
  스캔 11400개 처리, GICP 성공 11056 실패 343 (필터폴백 0)
  스캔 11600개 처리, GICP 성공 11256 실패 343 (필터폴백 0)
  스캔 11800개 처리, GICP 성공 11456 실패 343 (필터폴백 0)
  스캔 12000개 처리, GICP 성공 11655 실패 344 (필터폴백 0)
  스캔 12200개 처리, GICP 성공 11834 실패 365 (필터폴백 0)
  스캔 12400개 처리, GICP 성공 12034 실패 365 (필터폴백 0)
  스캔 12600개 처리, GICP 성공 12234 실패 365 (필터폴백 0)
  스캔 12800개 처리, GICP 성공 12433 실패 366 (필터폴백 0)
  스캔 13000개 처리, GICP 성공 12633 실패 366 (필터폴백 0)
  스캔 13200개 처리, GICP 성공 12833 실패 366 (필터폴백 0)
  스캔 13400개 처리, GICP 성공 13032 실패 367 (필터폴백 0)
  스캔 13600개 처리, GICP 성공 13232 실패 367 (필터폴백 0)
  스캔 13800개 처리, GICP 성공 13432 실패 367 (필터폴백 0)
  스캔 14000개 처리, GICP 성공 13623 실패 376 (필터폴백 0)
  스캔 14200개 처리, GICP 성공 13820 실패 379 (필터폴백 0)
  스캔 14400개 처리, GICP 성공 14020 실패 379 (필터폴백 0)
  스캔 14600개 처리, GICP 성공 14219 실패 380 (필터폴백 0)
  스캔 14800개 처리, GICP 성공 14419 실패 380 (필터폴백 0)
  스캔 15000개 처리, GICP 성공 14617 실패 382 (필터폴백 0)
  스캔 15200개 처리, GICP 성공 14817 실패 382 (필터폴백 0)
  스캔 15400개 처리, GICP 성공 15017 실패 382 (필터폴백 0)
  스캔 15600개 처리, GICP 성공 15215 실패 384 (필터폴백 0)
  스캔 15800개 처리, GICP 성공 15402 실패 397 (필터폴백 0)
  스캔 16000개 처리, GICP 성공 15599 실패 400 (필터폴백 0)
  스캔 16200개 처리, GICP 성공 15797 실패 402 (필터폴백 0)
  스캔 16400개 처리, GICP 성공 15997 실패 402 (필터폴백 0)
  스캔 16600개 처리, GICP 성공 16196 실패 403 (필터폴백 0)
  스캔 16800개 처리, GICP 성공 16394 실패 405 (필터폴백 0)
  스캔 17000개 처리, GICP 성공 16594 실패 405 (필터폴백 0)
  스캔 17200개 처리, GICP 성공 16794 실패 405 (필터폴백 0)
  스캔 17400개 처리, GICP 성공 16994 실패 405 (필터폴백 0)
  스캔 17600개 처리, GICP 성공 17189 실패 410 (필터폴백 0)
  스캔 17800개 처리, GICP 성공 17386 실패 413 (필터폴백 0)
  스캔 18000개 처리, GICP 성공 17579 실패 420 (필터폴백 0)
  스캔 18200개 처리, GICP 성공 17779 실패 420 (필터폴백 0)
  스캔 18400개 처리, GICP 성공 17978 실패 421 (필터폴백 0)
  스캔 18600개 처리, GICP 성공 18175 실패 424 (필터폴백 0)
  스캔 18800개 처리, GICP 성공 18370 실패 429 (필터폴백 0)
  스캔 19000개 처리, GICP 성공 18570 실패 429 (필터폴백 0)
  스캔 19200개 처리, GICP 성공 18769 실패 430 (필터폴백 0)
  스캔 19400개 처리, GICP 성공 18950 실패 449 (필터폴백 0)
  스캔 19600개 처리, GICP 성공 19148 실패 451 (필터폴백 0)
  스캔 19800개 처리, GICP 성공 19345 실패 454 (필터폴백 0)
  스캔 20000개 처리, GICP 성공 19543 실패 456 (필터폴백 0)
  스캔 20200개 처리, GICP 성공 19737 실패 462 (필터폴백 0)
